iter	Passed	Remaining
0	0	471
1	2	757
2	2	633
3	3	568
4	3	525
5	4	493
6	4	470
7	5	457
8	6	530
9	7	521
10	8	507
11	8	492
12	9	480
13	9	473
14	10	464
15	10	465
16	11	458
17	11	452
18	12	449
19	14	483
20	14	477
21	15	472
22	15	470
23	16	465
24	17	460
25	17	455
26	19	484
27	20	481
28	20	477
29	21	472
30	21	468
31	22	464
32	22	460
33	23	456
34	23	454
35	24	451
36	25	448
37	25	447
38	26	444
39	26	441
40	27	440
41	27	437
42	28	435
43	29	433
44	29	430
45	30	428
46	30	426
47	31	424
48	31	421
49	32	419
50	32	417
51	33	416
52	33	414
53	34	412
54	35	411
55	35	409
56	36	408
57	36	406
58	37	405
59	37	403
60	38	402
61	39	402
62	39	401
63	40	400
64	40	399
65	41	398
66	42	397
67	42	396
68	43	395
69	43	393
70	44	392
71	44	391
72	45	390
73	46	389
74	46	389
75	47	388
76	47	387
77	48	386
78	48	385
79	49	384
80	50	383
81	50	381
82	51	380
83	51	380
84	52	379
85	53	378
86	53	378
87	54	377
88	54	376
89	55	375
90	55	374
91	56	373
92	57	372
93	57	371
94	58	370
95	58	369
96	59	369
97	60	368
98	60	367
99	61	367
100	61	366
101	62	366
102	62	364
103	63	364
104	64	363
105	64	362
106	65	363
107	66	363
108	66	362
109	67	361
110	67	360
111	68	359
112	69	358
113	69	358
114	71	362
115	71	362
116	72	361
117	73	360
118	73	359
119	74	359
120	74	358
121	75	357
122	75	356
123	76	355
124	78	359
125	78	358
126	79	358
127	80	357
128	80	357
129	81	356
130	81	356
131	82	355
132	84	359
133	85	360
134	85	359
135	86	358
136	87	358
137	87	357
138	88	357
139	89	356
140	89	355
141	90	354
142	91	354
143	91	354
144	92	353
145	92	352
146	93	351
147	94	351
148	94	350
149	95	349
150	96	349
151	96	348
152	97	348
153	97	347
154	98	346
155	99	345
156	99	344
157	100	344
158	100	343
159	101	342
160	102	341
161	102	340
162	103	340
163	103	339
164	104	338
165	105	338
166	105	337
167	106	336
168	106	335
169	107	334
170	107	333
171	108	333
172	109	332
173	109	332
174	110	331
175	110	330
176	111	329
177	112	328
178	112	327
179	113	327
180	113	326
181	114	325
182	115	325
183	115	324
184	116	323
185	116	322
186	117	322
187	118	321
188	118	320
189	119	320
190	119	319
191	120	318
192	121	318
193	121	317
194	122	316
195	122	316
196	123	315
197	124	314
198	124	313
199	125	313
200	125	312
201	126	311
202	127	311
203	128	312
204	128	311
205	129	310
206	130	309
207	130	309
208	131	308
209	132	308
210	132	307
211	133	306
212	133	305
213	134	305
214	134	304
215	135	303
216	136	302
217	136	302
218	137	301
219	137	300
220	138	299
221	138	298
222	139	298
223	140	297
224	140	296
225	141	296
226	141	295
227	142	294
228	142	293
229	143	292
230	144	292
231	144	291
232	145	290
233	145	290
234	146	289
235	146	288
236	147	288
237	148	287
238	148	286
239	149	286
240	149	285
241	150	284
242	151	284
243	151	283
244	152	282
245	152	281
246	153	281
247	153	280
248	154	279
249	155	279
250	155	278
251	156	277
252	156	277
253	157	276
254	158	275
255	158	275
256	159	274
257	159	273
258	160	273
259	161	273
260	162	272
261	162	271
262	163	271
263	163	270
264	164	269
265	164	269
266	165	268
267	166	267
268	166	267
269	167	266
270	168	265
271	168	265
272	169	264
273	169	263
274	170	263
275	170	262
276	171	261
277	172	261
278	172	260
279	173	259
280	173	259
281	174	258
282	174	257
283	175	257
284	176	256
285	176	256
286	177	255
287	178	254
288	178	254
289	179	253
290	179	252
291	180	252
292	181	251
293	181	250
294	182	250
295	182	249
296	183	248
297	184	248
298	184	247
299	185	247
300	186	246
301	186	245
302	187	245
303	187	244
304	188	244
305	189	243
306	189	242
307	190	242
308	190	241
309	191	240
310	191	240
311	192	239
312	193	238
313	193	237
314	194	237
315	194	236
316	195	235
317	195	235
318	196	234
319	197	233
320	197	233
321	198	232
322	198	231
323	199	231
324	199	230
325	200	230
326	201	229
327	201	228
328	202	228
329	202	227
330	203	226
331	204	226
332	204	225
333	205	224
334	205	224
335	206	223
336	206	222
337	207	222
338	208	221
339	208	221
340	209	220
341	210	219
342	210	219
343	211	218
344	211	217
345	212	217
346	212	216
347	213	215
348	214	215
349	214	214
350	215	213
351	215	213
352	216	212
353	216	211
354	217	211
355	218	210
356	218	210
357	219	209
358	219	208
359	220	208
360	220	207
361	221	206
362	222	206
363	222	205
364	223	204
365	223	204
366	224	203
367	225	203
368	225	202
369	226	201
370	226	201
371	227	200
372	227	199
373	228	199
374	229	199
375	230	198
376	230	197
377	231	197
378	232	196
379	232	196
380	233	195
381	233	194
382	234	194
383	235	193
384	235	192
385	236	192
386	236	191
387	237	190
388	238	190
389	238	189
390	239	189
391	239	188
392	240	187
393	241	187
394	241	186
395	242	185
396	242	185
397	243	184
398	244	184
399	244	183
400	245	182
401	245	182
402	246	181
403	247	181
404	247	180
405	248	179
406	248	179
407	249	178
408	249	177
409	250	177
410	251	176
411	251	175
412	252	175
413	252	174
414	253	173
415	253	173
416	254	172
417	255	172
418	255	171
419	256	170
420	256	170
421	257	169
422	257	168
423	258	168
424	259	167
425	259	167
426	260	166
427	261	165
428	261	165
429	262	164
430	263	164
431	263	163
432	264	162
433	264	162
434	265	161
435	266	161
436	266	160
437	267	159
438	267	159
439	268	158
440	268	157
441	269	157
442	269	156
443	270	155
444	271	155
445	271	154
446	272	154
447	273	153
448	273	152
449	274	152
450	274	151
451	275	151
452	276	150
453	276	149
454	277	149
455	277	148
456	278	148
457	279	147
458	279	146
459	280	146
460	281	145
461	281	145
462	282	144
463	282	143
464	283	143
465	284	142
466	284	142
467	285	141
468	285	140
469	286	140
470	287	139
471	287	138
472	288	138
473	288	137
474	289	136
475	289	136
476	290	135
477	291	135
478	291	134
479	292	133
480	292	133
481	293	132
482	293	132
483	294	131
484	295	130
485	295	130
486	296	129
487	296	128
488	297	128
489	297	127
490	298	127
491	299	126
492	300	126
